lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
20,327,46,98,649,228,4,15,117,37,7,12,26,51,5
20,328,34,47,77,88,7,47,140,48,19,26,44,1,1
20,329,45,92,472,200,10,26,192,61,19,22,46,24,2
20,330,35,47,139,53,1,48,120,38,12,28,23,1,2
20,331,43,61,103,47,0,48,242,147,8,11,39,1,0
20,332,36,113,209,42,10,43,130,30,3,4,14,10,0
20,333,10,17,50,41,3,23,91,51,10,15,31,8,1
20,334,44,75,127,111,0,9,120,72,37,10,52,7,3
20,335,16,23,43,30,0,22,94,54,4,2,4,2,3
20,336,25,38,68,21,0,25,94,36,15,12,30,7,3
20,337,18,27,71,41,0,13,92,16,8,16,17,2,3
20,338,46,71,158,24,0,79,117,101,6,25,19,2,6
20,339,81,1752,2817,82,0,57,269,86,18,10,38,19,1
20,340,23,45,101,36,1,36,84,13,3,5,10,2,2
20,341,38,74,84,40,5,20,106,144,5,5,10,7,6
20,342,19,30,81,35,0,17,131,29,7,16,26,1,2
20,343,56,119,355,114,0,22,1211,145,22,33,50,8,4
20,606,46,53,124,14,4,18,105,90,6,12,10,1,1
20,607,38,137,541,37,2,9,81,9,0,1,6,25,2
21,344,12,112,217,31,1,4,154,6,3,1,6,1,1
21,345,10,73,147,57,6,6,215,25,10,1,20,0,1
21,346,10,94,139,55,6,4,189,2,0,0,10,11,0
21,347,6,61,151,36,4,5,184,10,7,1,12,5,3
21,348,6,53,161,60,5,1,152,37,4,0,11,4,1
21,349,8,85,91,18,1,2,57,6,5,0,5,0,0
